Sr No.,Student Name,Registration No.,Department,University,Degree Level,Country,City,Semester,Section,No. of Pending Courses,Pending Type,Pending Courses Name
7528,Ananya Wilson,MPHIL23-MST-041,Mathematics,University of engineering and Technology (UET) Lahore,Mphil,Pakistan,Karachi,3rd,C,0,All Clear,None
7529,Olivia Brown,BS25-ME-096,Mechanical Engineering,Indian Institute of Science (IISc),BS,India,Bangalore,6th,B,0,All Clear,None
7530,Yusuf Taylor,MASTER23-DA-137,Data Analytics,University of Delhi,Master,India,Kolkata,3rd,C,1,Withdraw,Critical Thinking
7531,Ji-woo Sharma,PHD24-DS-219,Data Science,Australian National University,PhD,Australia,Melbourne,6th,D,0,All Clear,None
7532,John Thomas,MPHIL22-DS-046,Data Science,Technical University of Munich,Mphil,Germany,Heidelberg,1st,A,2,Fail,"Deep Learning, English Composition"
7533,Sofia Wong,MS24-CE-144,Civil Engineering,United Arab Emirates University,MS,United Arab Emirates,Abu Dhabi,2nd,D,0,All Clear,None
7534,Hamza Al-Farsi,MASTER23-SE-137,Software Engineering,Harvard University,Master,United States,Boston,3rd,D,0,All Clear,None
7535,Amit Miller,MASTER22-GD-177,Graphic Design,University of Edinburgh,Master,United Kingdom,Manchester,6th,C,0,All Clear,None
7536,Noah Davis,MS24-CE-218,Civil Engineering,Universiti Malaya (UM),MS,Malaysia,Penang,1st,A,0,All Clear,None
7537,Jessica Sharma,PHD25-ME-099,Mechanical Engineering,Australian National University,PhD,Australia,Sydney,4th,C,0,All Clear,None
7538,John Gonzalez,BS25-CS-082,Computer Science,University of Delhi,BS,India,Bangalore,2nd,B,1,Dropped,Theory of Automata
7539,Jessica Davis,PHD21-BA-045,Business Administration,University of Delhi,PhD,India,Bangalore,8th,D,0,All Clear,None
7540,Liam Sharma,PHD25-MST-070,Mathematics,McGill University,PhD,Canada,Vancouver,4th,C,1,Not Registered,Linear Algebra
7541,David Malik,MS23-BA-026,Business Administration,United Arab Emirates University,MS,United Arab Emirates,Dubai,1st,B,0,All Clear,None
7542,Hamza Wilson,MPHIL23-BA-173,Business Administration,Universiti Penyelidikan,Mphil,Malaysia,Johor Bahru,3rd,B,2,Dropped,"Marketing Management, Corporate Finance"
7543,Zahra Schmidt,MASTER25-MST-103,Mathematics,Karlsruhe Institute of Technology,Master,Germany,Karlsruhe,2nd,A,0,All Clear,None
7544,Min-jun Johnson,MPHIL21-EST-028,Economics,Stanford University,Mphil,United States,Cambridge,7th,A,1,Dropped,Critical Thinking
7545,Ahmad Malik,MPHIL22-EST-054,Economics,University of British Columbia,Mphil,Canada,Waterloo,2nd,A,1,Not Registered,Development Economics
7546,Amara Al-Farsi,BS21-MST-136,Mathematics,Universiti Malaya (UM),BS,Malaysia,Kuala Lumpur,8th,A,0,All Clear,None
7547,John Müller,MPHIL21-MST-057,Mathematics,Ludwig Maximilian University of Munich,Mphil,Germany,Munich,8th,B,2,Not Registered,"Calculus II, Abstract Algebra"
7548,Emily Anderson,BS25-GD-224,Graphic Design,Georgia Institute of Technology,BS,United States,Cambridge,7th,D,0,All Clear,None
7549,Muhammad Brown,MPHIL21-CS-180,Computer Science,Universiti Teknologi Malaysia,Mphil,Malaysia,Johor Bahru,4th,B,0,All Clear,None
7550,Sneha Miller,MS21-ME-042,Mechanical Engineering,All India Institute of Medical Sciences (AIIMS),MS,India,Bangalore,2nd,A,0,All Clear,None
7551,Ravi Müller,PHD24-GD-062,Graphic Design,American University of Sharjah,PhD,United Arab Emirates,Al Ain,5th,A,2,Fail,"Typography, English Composition"
7552,Ali Schneider,BS21-MST-149,Mathematics,United Arab Emirates University,BS,United Arab Emirates,Al Ain,2nd,D,1,Not Registered,Complex Variables
7553,Aisha Sharma,MS22-GD-133,Graphic Design,University of the Punjab,MS,Pakistan,Karachi,5th,C,2,Dropped,"Islamic Studies / Ethics, Typography"
7554,Sofia Singh,MPHIL21-ME-229,Mechanical Engineering,University of British Columbia,Mphil,Canada,Edmonton,7th,C,0,All Clear,None
7555,Omar Wong,MASTER21-DA-073,Data Analytics,King Saud University,Master,Saudi Arabia,Dhahran,6th,C,0,All Clear,None
7556,Anya Ali,PHD24-SE-044,Software Engineering,University of Cambridge,PhD,United Kingdom,London,3rd,D,2,Not Registered,"Islamic Studies / Ethics, Pakistan Studies"
7557,Sofia Fischer,BS21-GD-116,Graphic Design,University of Sydney,BS,Australia,Brisbane,6th,D,0,All Clear,None
7558,Lucas Garcia,MASTER21-EST-131,Economics,Universiti Malaya (UM),Master,Malaysia,Kuala Lumpur,5th,A,0,All Clear,None
7559,Aisha Schneider,BS25-ME-110,Mechanical Engineering,Universiti Penyelidikan,BS,Malaysia,Johor Bahru,7th,C,0,All Clear,None
7560,James Patel,BS21-BA-151,Business Administration,American University of Sharjah,BS,United Arab Emirates,Dubai,8th,B,0,All Clear,None
7561,Syed Sharma,MASTER23-ME-130,Mechanical Engineering,University of the Punjab,Master,Pakistan,Karachi,1st,C,0,All Clear,None
7562,Abdul Jones,BS23-BA-123,Business Administration,King Saud University,BS,Saudi Arabia,Riyadh,3rd,B,0,All Clear,None
7563,Michael Wong,PHD25-SE-233,Software Engineering,United Arab Emirates University,PhD,United Arab Emirates,Al Ain,5th,A,0,All Clear,None
7564,Min-jun Davis,BS25-PST-051,Psychology,University of engineering and Technology (UET) Lahore,BS,Pakistan,Lahore,1st,D,1,Withdraw,Abnormal Psychology
7565,Liam Hernandez,PHD22-PST-099,Psychology,University of engineering and Technology (UET) Lahore,PhD,Pakistan,Lahore,4th,B,0,All Clear,None
7566,Carlos Lee,MASTER23-ME-104,Mechanical Engineering,University of the Punjab,Master,Pakistan,Islamabad,3rd,B,1,Fail,Manufacturing Processes
7567,Siddharth Hernandez,MS24-PST-193,Psychology,University of Alberta,MS,Canada,Waterloo,1st,B,0,All Clear,None
7568,Sofia Patel,MPHIL25-SST-172,Statistics,United Arab Emirates University,Mphil,United Arab Emirates,Al Ain,2nd,D,3,Dropped,"Regression Analysis, Pakistan Studies, Statistical Inference"
7569,Yusuf Shah,PHD22-EST-239,Economics,"University of California, Berkeley",PhD,United States,Stanford,4th,A,3,Dropped,"Professional Ethics, Communication Skills, Islamic Studies / Ethics"
7570,Liam Smith,PHD23-MST-210,Mathematics,Karlsruhe Institute of Technology,PhD,Germany,Berlin,8th,D,0,All Clear,None
7571,Syed Hassan,MS25-SE-232,Software Engineering,Georgia Institute of Technology,MS,United States,Atlanta,1st,B,0,All Clear,None
7572,Emily Taylor,PHD23-SE-028,Software Engineering,Universiti Penyelidikan,PhD,Malaysia,Johor Bahru,8th,C,0,All Clear,None
7573,Olivia Thomas,MPHIL23-CS-150,Computer Science,University of Delhi,Mphil,India,Bangalore,6th,C,0,All Clear,None
7574,Jessica Anderson,PHD24-DS-056,Data Science,University of Oxford,PhD,United Kingdom,Cambridge,3rd,A,0,All Clear,None
7575,Fatima Lopez,MS25-SST-066,Statistics,Indian Institute of Technology (IIT) Bombay,MS,India,Kolkata,8th,B,0,All Clear,None
7576,Amara Al-Mansoori,MASTER23-CS-141,Computer Science,King Abdulaziz University,Master,Saudi Arabia,Dhahran,5th,C,0,All Clear,None
7577,John Jones,MPHIL24-CE-072,Civil Engineering,University of Edinburgh,Mphil,United Kingdom,London,4th,B,0,All Clear,None
7578,Syed Al-Mansoori,MPHIL23-SST-182,Statistics,Universiti Penyelidikan,Mphil,Malaysia,Kuala Lumpur,4th,D,0,All Clear,None
7579,Noah Patel,PHD21-EST-077,Economics,Indian Institute of Science (IISc),PhD,India,Kolkata,1st,A,1,Withdraw,Professional Ethics
7580,Anya Ali,PHD22-ME-230,Mechanical Engineering,Universiti Teknologi Malaysia,PhD,Malaysia,Johor Bahru,8th,A,0,All Clear,None
7581,Emily Brown,MASTER24-MST-191,Mathematics,UNSW Sydney,Master,Australia,Canberra,4th,A,0,All Clear,None
7582,Aisha Al-Mansoori,MASTER24-GD-240,Graphic Design,Heidelberg University,Master,Germany,Munich,2nd,B,0,All Clear,None
7583,Lucas Gonzalez,PHD21-CE-179,Civil Engineering,Massachusetts Institute of Technology (MIT),PhD,United States,Atlanta,3rd,A,0,All Clear,None
7584,Ahmad Wong,MPHIL24-DS-142,Data Science,American University of Sharjah,Mphil,United Arab Emirates,Dubai,4th,C,1,Withdraw,English Composition
7585,Zahra Patel,MS21-PST-056,Psychology,University of Waterloo,MS,Canada,Waterloo,7th,D,0,All Clear,None
7586,James Davis,BS23-EST-086,Economics,UNSW Sydney,BS,Australia,Perth,6th,B,0,All Clear,None
7587,Min-jun Malik,PHD21-DS-079,Data Science,Universiti Penyelidikan,PhD,Malaysia,Johor Bahru,8th,D,0,All Clear,None
7588,Daniel Al-Mansoori,MPHIL21-DS-182,Data Science,National University of Sciences and Technology (NUST),Mphil,Pakistan,Karachi,1st,B,1,Fail,Deep Learning
7589,Zahra Miller,PHD25-EST-179,Economics,Georgia Institute of Technology,PhD,United States,Berkeley,8th,C,1,Not Registered,Public Finance
7590,Ahmad Singh,MASTER25-CS-143,Computer Science,Harvard University,Master,United States,Atlanta,7th,A,0,All Clear,None
7591,Abdul Rodriguez,BS24-BA-072,Business Administration,Massachusetts Institute of Technology (MIT),BS,United States,Boston,5th,B,0,All Clear,None
7592,Ji-woo Brown,PHD24-SE-094,Software Engineering,"University of California, Berkeley",PhD,United States,Atlanta,3rd,A,0,All Clear,None
7593,Aisha Schneider,MS21-GD-230,Graphic Design,University of Oxford,MS,United Kingdom,London,1st,D,2,Not Registered,"Packaging Design, Critical Thinking"
7594,Sarah Sharma,BS25-DA-219,Data Analytics,COMSATS University Islamabad,BS,Pakistan,Rawalpindi,4th,B,3,Not Registered,"Machine Learning, Communication Skills, English Composition"
7595,Sophia Wong,MS23-CS-096,Computer Science,UNSW Sydney,MS,Australia,Brisbane,2nd,C,0,All Clear,None
7596,Aisha Ahmed,BS25-ME-203,Mechanical Engineering,University of Alberta,BS,Canada,Waterloo,5th,D,0,All Clear,None
7597,Siddharth Malik,BS25-DA-113,Data Analytics,"University of California, Berkeley",BS,United States,Atlanta,8th,D,0,All Clear,None
7598,Emily Shah,BS24-MST-138,Mathematics,King Fahd University of Petroleum and Minerals,BS,Saudi Arabia,Riyadh,1st,D,0,All Clear,None
7599,Daniel Smith,BS22-SE-100,Software Engineering,McGill University,BS,Canada,Montreal,8th,A,1,Not Registered,Mobile Application Development
7600,Emily Lopez,MPHIL21-ME-063,Mechanical Engineering,Massachusetts Institute of Technology (MIT),Mphil,United States,Cambridge,4th,A,0,All Clear,None
7601,Zahra Schneider,MS22-DA-084,Data Analytics,Khalifa University,MS,United Arab Emirates,Sharjah,8th,C,0,All Clear,None
7602,Emily Ahmed,PHD23-EST-237,Economics,Harvard University,PhD,United States,Stanford,5th,A,1,Dropped,International Trade
7603,Sneha Lopez,PHD24-CS-249,Computer Science,American University of Sharjah,PhD,United Arab Emirates,Al Ain,3rd,D,1,Not Registered,English Composition
7604,Anya Johnson,PHD23-BA-091,Business Administration,Imperial College London,PhD,United Kingdom,Oxford,5th,B,0,All Clear,None
7605,James Haider,PHD21-BA-069,Business Administration,Universiti Teknologi Malaysia,PhD,Malaysia,Johor Bahru,2nd,C,1,Not Registered,Islamic Studies / Ethics
7606,Ahmad Tan,MASTER24-DS-087,Data Science,Karlsruhe Institute of Technology,Master,Germany,Berlin,6th,C,1,Not Registered,Introduction to Data Science
7607,Syed Ahmed,MPHIL23-BA-055,Business Administration,All India Institute of Medical Sciences (AIIMS),Mphil,India,Bangalore,1st,D,0,All Clear,None
7608,Zain Davis,PHD21-DS-002,Data Science,American University of Sharjah,PhD,United Arab Emirates,Dubai,7th,D,0,All Clear,None
7609,Sofia Hernandez,MASTER23-CE-022,Civil Engineering,United Arab Emirates University,Master,United Arab Emirates,Sharjah,4th,D,0,All Clear,None
7610,Sophia Hernandez,MS21-BA-115,Business Administration,King Abdulaziz University,MS,Saudi Arabia,Riyadh,5th,C,0,All Clear,None
7611,Liam Lopez,MS25-PST-115,Psychology,National University of Sciences and Technology (NUST),MS,Pakistan,Karachi,7th,C,0,All Clear,None
7612,Muhammad Wilson,MS24-CE-094,Civil Engineering,All India Institute of Medical Sciences (AIIMS),MS,India,New Delhi,1st,C,0,All Clear,None
7613,John Hernandez,MASTER21-PST-035,Psychology,University of Waterloo,Master,Canada,Waterloo,3rd,D,1,Dropped,Professional Ethics
7614,Yusuf Malik,MASTER25-MST-095,Mathematics,University College London (UCL),Master,United Kingdom,London,4th,B,0,All Clear,None
7615,Ravi Fischer,MS25-MST-169,Mathematics,King Fahd University of Petroleum and Minerals,MS,Saudi Arabia,Jeddah,6th,C,0,All Clear,None
7616,Min-jun Gonzalez,MPHIL22-PST-164,Psychology,Khalifa University,Mphil,United Arab Emirates,Dubai,1st,A,1,Fail,Communication Skills
7617,Mia Hassan,MPHIL22-CS-162,Computer Science,Heidelberg University,Mphil,Germany,Berlin,4th,B,0,All Clear,None
7618,Sophia Smith,MPHIL23-CS-191,Computer Science,Karlsruhe Institute of Technology,Mphil,Germany,Aachen,3rd,B,0,All Clear,None
7619,Ananya Das,MS21-CS-222,Computer Science,University of Melbourne,MS,Australia,Canberra,5th,B,1,Withdraw,English Composition
7620,Syed Davis,MASTER25-SE-117,Software Engineering,American University of Sharjah,Master,United Arab Emirates,Sharjah,8th,C,2,Dropped,"Software Requirement Engineering, Software Architecture and Design"
7621,Abdul Davis,PHD25-CS-086,Computer Science,Massachusetts Institute of Technology (MIT),PhD,United States,Atlanta,6th,A,2,Withdraw,"Programming Fundamentals, English Composition"
7622,Lucas Al-Farsi,PHD24-CE-151,Civil Engineering,University of Oxford,PhD,United Kingdom,Oxford,2nd,A,1,Dropped,English Composition
7623,Liam Davis,MPHIL25-MST-062,Mathematics,McGill University,Mphil,Canada,Waterloo,8th,B,0,All Clear,None
7624,John Hussein,MS21-GD-040,Graphic Design,Universiti Malaya (UM),MS,Malaysia,Kuala Lumpur,4th,D,0,All Clear,None
7625,Noah Malik,BS21-DA-216,Data Analytics,King Fahd University of Petroleum and Minerals,BS,Saudi Arabia,Riyadh,8th,B,0,All Clear,None
7626,Omar Kumar,PHD21-PST-039,Psychology,University of Melbourne,PhD,Australia,Melbourne,4th,B,0,All Clear,None
7627,Emma Thomas,MS24-ME-037,Mechanical Engineering,United Arab Emirates University,MS,United Arab Emirates,Al Ain,4th,B,0,All Clear,None
7628,Anya Davis,BS23-SST-158,Statistics,University of British Columbia,BS,Canada,Montreal,2nd,D,0,All Clear,None
7629,Rahul Al-Farsi,MS21-ME-115,Mechanical Engineering,University of Waterloo,MS,Canada,Vancouver,4th,B,0,All Clear,None
7630,Priya Taylor,BS21-GD-144,Graphic Design,United Arab Emirates University,BS,United Arab Emirates,Sharjah,6th,B,0,All Clear,None
7631,Liam Sharma,BS24-CS-143,Computer Science,King Fahd University of Petroleum and Minerals,BS,Saudi Arabia,Riyadh,1st,B,0,All Clear,None
7632,Sneha Anderson,MASTER25-BA-013,Business Administration,Karlsruhe Institute of Technology,Master,Germany,Karlsruhe,2nd,A,0,All Clear,None
7633,Aisha Martinez,PHD24-PST-231,Psychology,University of Alberta,PhD,Canada,Vancouver,7th,D,1,Not Registered,Internship
7634,John Lee,MPHIL22-CE-173,Civil Engineering,Khalifa University,Mphil,United Arab Emirates,Abu Dhabi,8th,B,3,Dropped,"Geotechnical Engineering, Structural Analysis, Critical Thinking"
7635,Amit Ali,MASTER22-SST-041,Statistics,Indian Institute of Science (IISc),Master,India,Chennai,3rd,D,1,Withdraw,Design and Analysis of Experiments
7636,Siddharth Hassan,MASTER25-EST-027,Economics,University of Waterloo,Master,Canada,Vancouver,4th,B,0,All Clear,None
7637,Amit Williams,MS23-MST-195,Mathematics,Karlsruhe Institute of Technology,MS,Germany,Karlsruhe,1st,B,2,Fail,"Islamic Studies / Ethics, Complex Variables"
7638,John Ali,PHD24-DS-096,Data Science,King Saud University,PhD,Saudi Arabia,Riyadh,5th,D,2,Fail,"Natural Language Processing, Pakistan Studies"
7639,Fatima Kumar,BS21-MST-171,Mathematics,Heidelberg University,BS,Germany,Berlin,1st,A,0,All Clear,None
7640,Sneha Thomas,MPHIL21-MST-137,Mathematics,University of Toronto,Mphil,Canada,Vancouver,7th,B,0,All Clear,None
7641,Michael Davis,MPHIL25-CS-026,Computer Science,Universiti Penyelidikan,Mphil,Malaysia,Penang,6th,D,0,All Clear,None
7642,Siddharth Malik,BS21-GD-227,Graphic Design,University of engineering and Technology (UET) Lahore,BS,Pakistan,Faisalabad,6th,B,0,All Clear,None
7643,Noah Lopez,BS21-PST-078,Psychology,King Fahd University of Petroleum and Minerals,BS,Saudi Arabia,Riyadh,8th,D,0,All Clear,None
7644,Fatima Ahmed,MPHIL22-EST-216,Economics,Imperial College London,Mphil,United Kingdom,Edinburgh,7th,A,0,All Clear,None
7645,Ravi Jones,MS25-CE-198,Civil Engineering,University of Melbourne,MS,Australia,Sydney,1st,B,0,All Clear,None
7646,Sofia Kumar,MS24-GD-154,Graphic Design,University of Delhi,MS,India,Mumbai,7th,B,0,All Clear,None
7647,Amit Wong,MASTER21-SE-151,Software Engineering,University of Delhi,Master,India,Mumbai,7th,C,1,Dropped,Professional Ethics
7648,John Al-Farsi,PHD24-CE-070,Civil Engineering,"University of California, Berkeley",PhD,United States,Boston,3rd,A,0,All Clear,None
7649,Michael Wilson,MASTER24-SST-178,Statistics,Universiti Teknologi Malaysia,Master,Malaysia,Penang,8th,C,1,Dropped,Pakistan Studies
7650,John Gonzalez,MS22-CE-167,Civil Engineering,Stanford University,MS,United States,Atlanta,6th,D,1,Not Registered,Surveying
7651,Zain Wong,MASTER22-SE-166,Software Engineering,Universiti Malaya (UM),Master,Malaysia,Kuala Lumpur,8th,C,0,All Clear,None
7652,Yusuf Johnson,MPHIL24-SST-227,Statistics,Indian Institute of Technology (IIT) Delhi,Mphil,India,Bangalore,5th,B,0,All Clear,None
7653,Yusuf Al-Mansoori,MPHIL21-GD-072,Graphic Design,COMSATS University Islamabad,Mphil,Pakistan,Faisalabad,8th,D,0,All Clear,None
7654,Sarah Johnson,PHD23-DA-250,Data Analytics,University of Queensland,PhD,Australia,Sydney,5th,B,1,Not Registered,Pakistan Studies
7655,Ji-woo Gonzalez,BS24-MST-241,Mathematics,Universiti Malaya (UM),BS,Malaysia,Penang,8th,B,0,All Clear,None
7656,Aisha Kim,MPHIL23-ME-240,Mechanical Engineering,King Abdulaziz University,Mphil,Saudi Arabia,Dhahran,7th,D,2,Dropped,"Professional Ethics, Communication Skills"
7657,Omar Malik,PHD25-EST-040,Economics,Universiti Penyelidikan,PhD,Malaysia,Penang,4th,D,0,All Clear,None
7658,Rahul Patel,MS21-SE-075,Software Engineering,University of the Punjab,MS,Pakistan,Karachi,2nd,D,2,Fail,"Pakistan Studies, Web Engineering"
7659,Ahmad Hassan,BS22-BA-061,Business Administration,RWTH Aachen University,BS,Germany,Munich,8th,D,0,All Clear,None
7660,Jessica Khan,PHD22-EST-184,Economics,University of Alberta,PhD,Canada,Vancouver,2nd,B,0,All Clear,None
7661,Fatima Kumar,MS23-DA-136,Data Analytics,University of Queensland,MS,Australia,Sydney,7th,B,0,All Clear,None
7662,John Al-Mansoori,MS25-EST-099,Economics,Australian National University,MS,Australia,Canberra,1st,A,0,All Clear,None
7663,Ji-woo Johnson,BS22-SE-238,Software Engineering,University of Melbourne,BS,Australia,Sydney,6th,C,1,Not Registered,Software Requirement Engineering
7664,Noah Shah,BS21-MST-172,Mathematics,Harvard University,BS,United States,Berkeley,5th,B,0,All Clear,None
7665,Rahul Martinez,BS23-DA-138,Data Analytics,Indian Institute of Science (IISc),BS,India,Kolkata,5th,C,0,All Clear,None
7666,Noah Al-Farsi,MASTER21-CS-090,Computer Science,Massachusetts Institute of Technology (MIT),Master,United States,Boston,3rd,A,3,Not Registered,"Data Structures and Algorithms, Islamic Studies / Ethics, Theory of Automata"
7667,Sarah Schmidt,MPHIL23-GD-100,Graphic Design,Indian Institute of Technology (IIT) Bombay,Mphil,India,Bangalore,8th,B,0,All Clear,None
7668,Zahra Das,MPHIL25-PST-221,Psychology,University of Edinburgh,Mphil,United Kingdom,Manchester,6th,B,1,Withdraw,Pakistan Studies
7669,Sophia Rodriguez,PHD24-GD-160,Graphic Design,University of Waterloo,PhD,Canada,Vancouver,8th,A,0,All Clear,None
7670,Min-jun Al-Farsi,MS23-BA-016,Business Administration,King Abdulaziz University,MS,Saudi Arabia,Jeddah,2nd,D,0,All Clear,None
7671,Emma Kumar,MPHIL23-GD-102,Graphic Design,Indian Institute of Science (IISc),Mphil,India,Kolkata,6th,A,3,Fail,"Digital Illustration, English Composition, Islamic Studies / Ethics"
7672,Hamza Johnson,MS21-PST-249,Psychology,King Fahd University of Petroleum and Minerals,MS,Saudi Arabia,Jeddah,7th,D,0,All Clear,None
7673,Yusuf Schneider,MS24-ME-199,Mechanical Engineering,University of Queensland,MS,Australia,Perth,8th,D,0,All Clear,None
7674,Michael Shah,PHD24-ME-087,Mechanical Engineering,Karlsruhe Institute of Technology,PhD,Germany,Berlin,7th,B,3,Dropped,"Manufacturing Processes, Critical Thinking, Thermodynamics"
7675,Emma Ali,PHD22-DS-142,Data Science,American University of Sharjah,PhD,United Arab Emirates,Abu Dhabi,5th,A,0,All Clear,None
7676,Carlos Schneider,MPHIL24-DS-002,Data Science,University of Sydney,Mphil,Australia,Sydney,8th,B,0,All Clear,None
7677,John Kim,BS23-ME-144,Mechanical Engineering,Karlsruhe Institute of Technology,BS,Germany,Berlin,3rd,A,1,Fail,Control Systems
7678,Carlos Das,PHD23-DA-212,Data Analytics,Universiti Teknologi Malaysia,PhD,Malaysia,Johor Bahru,6th,D,0,All Clear,None
7679,Emma Smith,MS25-BA-002,Business Administration,Universiti Penyelidikan,MS,Malaysia,Johor Bahru,6th,D,0,All Clear,None
7680,Liam Anderson,PHD21-PST-045,Psychology,COMSATS University Islamabad,PhD,Pakistan,Islamabad,2nd,A,0,All Clear,None
7681,Michael Wong,BS21-CS-115,Computer Science,COMSATS University Islamabad,BS,Pakistan,Faisalabad,4th,A,1,Withdraw,Professional Ethics
7682,Siddharth Davis,MPHIL22-BA-104,Business Administration,Universiti Teknologi Malaysia,Mphil,Malaysia,Penang,8th,C,1,Not Registered,Internship
7683,Ravi Sharma,BS23-BA-081,Business Administration,Khalifa University,BS,United Arab Emirates,Abu Dhabi,7th,B,1,Not Registered,Principles of Management
7684,David Schmidt,BS25-DS-159,Data Science,United Arab Emirates University,BS,United Arab Emirates,Sharjah,8th,A,0,All Clear,None
7685,Sarah Williams,BS23-CS-245,Computer Science,King Saud University,BS,Saudi Arabia,Jeddah,8th,D,0,All Clear,None
7686,Olivia Brown,MPHIL23-DS-035,Data Science,King Abdulaziz University,Mphil,Saudi Arabia,Jeddah,1st,B,0,All Clear,None
7687,Sofia Williams,MS22-MST-175,Mathematics,Australian National University,MS,Australia,Sydney,3rd,A,0,All Clear,None
7688,Ali Brown,PHD21-MST-034,Mathematics,University of Alberta,PhD,Canada,Edmonton,2nd,A,0,All Clear,None
7689,Rahul Al-Mansoori,MS24-DA-162,Data Analytics,COMSATS University Islamabad,MS,Pakistan,Rawalpindi,5th,C,1,Fail,Time Series Analysis
7690,Fatima Wilson,MS22-ME-061,Mechanical Engineering,American University of Sharjah,MS,United Arab Emirates,Al Ain,7th,A,0,All Clear,None
7691,Yusuf Johnson,PHD25-GD-141,Graphic Design,Universiti Malaya (UM),PhD,Malaysia,Johor Bahru,1st,C,0,All Clear,None
7692,Min-jun Jones,BS25-BA-185,Business Administration,"University of California, Berkeley",BS,United States,Boston,2nd,C,0,All Clear,None
7693,Sophia Tan,MPHIL22-PST-023,Psychology,Lahore University of Management Sciences (LUMS),Mphil,Pakistan,Karachi,4th,C,2,Not Registered,"Developmental Psychology, Islamic Studies / Ethics"
7694,Priya Davis,BS21-SE-035,Software Engineering,Harvard University,BS,United States,Cambridge,6th,D,0,All Clear,None
7695,Aisha Davis,MPHIL25-ME-048,Mechanical Engineering,Heidelberg University,Mphil,Germany,Heidelberg,6th,B,4,Fail,"Professional Ethics, Thermodynamics, Communication Skills, Pakistan Studies"
7696,Jessica Schneider,MPHIL25-BA-024,Business Administration,University of engineering and Technology (UET) Lahore,Mphil,Pakistan,Islamabad,5th,B,0,All Clear,None
7697,Anya Wilson,MASTER21-CE-236,Civil Engineering,King Saud University,Master,Saudi Arabia,Jeddah,3rd,B,3,Not Registered,"Geotechnical Engineering, Surveying, English Composition"
7698,Sneha Fischer,BS25-MST-142,Mathematics,McGill University,BS,Canada,Edmonton,6th,A,0,All Clear,None
7699,Anya Schneider,MPHIL22-DA-198,Data Analytics,American University of Sharjah,Mphil,United Arab Emirates,Sharjah,8th,B,0,All Clear,None
7700,Yusuf Hussein,BS23-DS-112,Data Science,Khalifa University,BS,United Arab Emirates,Dubai,1st,D,0,All Clear,None
7701,Ali Williams,MS23-DS-018,Data Science,"University of California, Berkeley",MS,United States,Cambridge,4th,D,0,All Clear,None
7702,Aisha Al-Farsi,BS25-SE-215,Software Engineering,University of Melbourne,BS,Australia,Melbourne,8th,D,0,All Clear,None
7703,Siddharth Davis,PHD24-BA-157,Business Administration,University of Cambridge,PhD,United Kingdom,London,8th,D,0,All Clear,None
7704,Daniel Das,MASTER22-EST-096,Economics,Universiti Malaya (UM),Master,Malaysia,Kuala Lumpur,4th,B,0,All Clear,None
7705,Emma Jones,MASTER24-SST-192,Statistics,Khalifa University,Master,United Arab Emirates,Abu Dhabi,1st,A,0,All Clear,None
7706,Daniel Brown,MS24-SST-079,Statistics,Universiti Penyelidikan,MS,Malaysia,Johor Bahru,4th,B,0,All Clear,None
7707,Muhammad Kumar,PHD25-DS-203,Data Science,UNSW Sydney,PhD,Australia,Brisbane,2nd,D,0,All Clear,None
7708,Emily Khan,MPHIL25-PST-158,Psychology,Lahore University of Management Sciences (LUMS),Mphil,Pakistan,Lahore,7th,A,0,All Clear,None
7709,Olivia Müller,BS24-DS-185,Data Science,King Abdulaziz University,BS,Saudi Arabia,Dhahran,2nd,A,0,All Clear,None
7710,Priya Hussein,BS25-SE-249,Software Engineering,Indian Institute of Technology (IIT) Delhi,BS,India,New Delhi,7th,A,1,Dropped,Critical Thinking
7711,John Thomas,MS22-PST-067,Psychology,Heidelberg University,MS,Germany,Heidelberg,7th,B,0,All Clear,None
7712,John Singh,MPHIL22-DS-140,Data Science,United Arab Emirates University,Mphil,United Arab Emirates,Abu Dhabi,3rd,C,0,All Clear,None
7713,Jessica Ali,PHD21-SST-177,Statistics,National University of Sciences and Technology (NUST),PhD,Pakistan,Karachi,8th,C,0,All Clear,None
7714,Ji-woo Hassan,BS22-CS-113,Computer Science,University of Sydney,BS,Australia,Canberra,4th,A,0,All Clear,None
7715,Michael Rodriguez,MS21-DS-080,Data Science,COMSATS University Islamabad,MS,Pakistan,Faisalabad,3rd,C,2,Withdraw,"Pakistan Studies, Introduction to Data Science"
7716,Liam Kim,MPHIL22-SST-242,Statistics,Ludwig Maximilian University of Munich,Mphil,Germany,Heidelberg,1st,C,0,All Clear,None
7717,Fatima Miller,MS24-CE-124,Civil Engineering,All India Institute of Medical Sciences (AIIMS),MS,India,Bangalore,5th,D,2,Fail,"Islamic Studies / Ethics, Critical Thinking"
7718,Liam Gonzalez,PHD24-EST-214,Economics,All India Institute of Medical Sciences (AIIMS),PhD,India,New Delhi,2nd,D,0,All Clear,None
7719,Mia Davis,PHD23-SE-082,Software Engineering,Lahore University of Management Sciences (LUMS),PhD,Pakistan,Islamabad,4th,D,0,All Clear,None
7720,Muhammad Wong,MS24-SE-012,Software Engineering,McGill University,MS,Canada,Toronto,7th,D,1,Fail,Software Architecture and Design
